;Source;Instance;GA;Gurobi;Literature;GA Best Gap;Gurobi Best Gap;Literature Best Gap;GA Literature Gap;Gurobi Literature Gap;GA/Gurobi;GA/Literature;n_machines;n_operations;beta_flexibility;duration_variety
0;1_Brandimarte;1;40.0;40;40.0;0.0;0.0;0.0;0.0;0.0;o;o;6;55;0.3333333333333333;0.05217391304347826
1;1_Brandimarte;2;26.0;27;26.0;0.0;0.038461538461538464;0.0;0.0;0.038461538461538464;+;o;6;58;0.5833333333333334;0.025210084033613446
2;1_Brandimarte;3;204.0;204;204.0;0.0;0.0;0.0;0.0;0.0;o;o;8;150;0.375;0.037694013303769404
3;1_Brandimarte;4;60.0;60;60.0;0.0;0.0;0.0;0.0;0.0;o;o;8;90;0.25;0.05232558139534884
4;1_Brandimarte;5;173.0;173;172.0;0.005813953488372093;0.005813953488372093;0.0;0.005813953488372093;0.005813953488372093;o;-;4;106;0.375;0.027624309392265192
5;1_Brandimarte;6;63.0;64;58.0;0.08620689655172414;0.10344827586206896;0.0;0.08620689655172414;0.10344827586206896;+;-;10;150;0.3;0.018367346938775512
6;1_Brandimarte;7;141.0;144;139.0;0.014388489208633094;0.03597122302158273;0.0;0.014388489208633094;0.03597122302158273;+;-;5;100;0.6;0.06713780918727916
7;1_Brandimarte;8;523.0;523;523.0;0.0;0.0;0.0;0.0;0.0;o;o;10;225;0.15;0.037267080745341616
8;1_Brandimarte;9;320.0;310;307.0;0.04234527687296417;0.009771986970684038;0.0;0.04234527687296417;0.009771986970684038;-;-;10;240;0.3;0.026402640264026403
9;1_Brandimarte;10;247.0;217;197.0;0.25380710659898476;0.10152284263959391;0.0;0.25380710659898476;0.10152284263959391;-;-;15;240;0.2;0.0223463687150838
10;1_Brandimarte;11;614.0;626;615.0;0.0;0.019543973941368076;0.0016286644951140066;-0.0016260162601626016;0.01788617886178862;+;+;5;179;0.301675977653632;0.07037037037037037
11;1_Brandimarte;12;508.0;508;508.0;0.0;0.0;0.0;0.0;0.0;o;o;10;193;0.14922279792746102;0.0625
12;1_Brandimarte;13;434.0;431;430.0;0.009302325581395349;0.002325581395348837;0.0;0.009302325581395349;0.002325581395348837;-;-;10;231;0.336796536796537;0.02570694087403599
13;1_Brandimarte;14;694.0;694;694.0;0.0;0.0;0.0;0.0;0.0;o;o;15;277;0.103971119133574;0.041666666666666664
